fecha,equipo_local,equipo_visitante,goles_local,goles_visitante
2024-03-01,Atletico Sur,Deportivo Norte,2,1
2024-03-01,Club Central,Union del Este,0,0
2024-03-08,Deportivo Norte,Club Central,3,1
2024-03-08,Union del Este,Atletico Sur,1,2
2024-03-15,Atletico Sur,Club Central,1,1
2024-03-15,Deportivo Norte,Union del Este,2,0
2024-03-22,Club Central,Atletico Sur,0,3
2024-03-22,Union del Este,Deportivo Norte,1,1
2024-03-29,Atletico Sur,Deportivo Norte,0,2
2024-03-29,Club Central,Union del Este,2,1
2024-04-05,Deportivo Norte,Atletico Sur,1,1
2024-04-05,Union del Este,Club Central,3,0
2024-04-12,Atletico Sur,Union del Este,4,0
2024-04-12,Deportivo Norte,Club Central,2,2
2024-04-19,Club Central,Deportivo Norte,1,3
2024-04-19,Union del Este,Atletico Sur,0,1
